,lat,long,name,addr,uri,reviews,num_reviews,loc_type,description,price,zone,Info,summary,tags
0,40.7147484,-73.9935561,Museum at Eldridge Street,"12 Eldridge St, New York, NY 10002, USA",http://www.eldridgestreet.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9203637435846348570,Rating: 4.7,12172,Culture,"tourist attraction, museum",price level very cheap,Lower East Side,"Name of location: Museum at Eldridge Street Rating: 4.7, Location Type: Culture tourist attraction, museum. price level very cheap. Zone in NYC: Lower East Side",Historic museum showcasing Jewish culture and heritage.,"museum, history, culture, Jewish"
1,40.7120518,-73.9951606,Matcha 108,"108 Madison St, New York, NY 10002, USA",https://www.instagram.com/matcha_lounge_nyc?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Rating: 4.7,18398,Culture,"cafe, art gallery, tea house, clothing store, food, store",price level very cheap,Chinatown,"Name of location: Matcha 108 Rating: 4.7, Location Type: Culture cafe, art gallery, tea house, clothing store, food, store. price level very cheap. Zone in NYC: Chinatown",Creative cafe and space centered around matcha drinks.,"cafe, matcha, culture, creative"
2,40.7134703,-73.9922228,Blade Study,"17 Pike St, New York, NY 10002, USA",http://bladestudy.net/,Rating: 5,2387,Culture,art gallery,price level very cheap,Two Bridges/Seward Park,"Name of location: Blade Study Rating: 5, Location Type: Culture art gallery. price level very cheap. Zone in NYC: Two Bridges/Seward Park",Contemporary art gallery focusing on emerging artists.,"gallery, art, contemporary, creative"
3,40.7163815,-73.9900542,Entrance,"Storefront R, 48 Ludlow St, New York, NY 10002, USA",http://entrance.nyc/,Rating: 4.9,3445,Culture,art gallery,price level very cheap,Lower East Side,"Name of location: Entrance Rating: 4.9, Location Type: Culture art gallery. price level very cheap. Zone in NYC: Lower East Side",Art space and installation venue featuring unique exhibits.,"art, installation, creative, exhibit"
4,40.7143641,-73.9916195,EUROPA,"125 Division St, New York, NY 10002, USA",http://europa.nyc/,Rating: 5,7978,Culture,art gallery,price level very cheap,Two Bridges/Seward Park,"Name of location: EUROPA Rating: 5, Location Type: Culture art gallery. price level very cheap. Zone in NYC: Two Bridges/Seward Park",Cultural space hosting art and European-themed events.,"culture, art, events, European"
5,40.7138217,-73.980015,KatesFerri Projects,"561 Grand St, New York, NY 10002, USA",https://www.katesferriprojects.com/,Rating: 4.9,8974,Culture,art gallery,price level very cheap,Two Bridges/Seward Park,"Name of location: KatesFerri Projects Rating: 4.9, Location Type: Culture art gallery. price level very cheap. Zone in NYC: Two Bridges/Seward Park",Gallery promoting innovative and experimental artists.,"gallery, art, experimental, creative"
6,40.7136656,-73.9877724,Sitting Room Gallery,"195 Henry St, New York, NY 10002, USA",https://www.sittingroomgallery.ai/,Rating: 5,3206,Culture,art gallery,price level very cheap,Two Bridges/Seward Park,"Name of location: Sitting Room Gallery Rating: 5, Location Type: Culture art gallery. price level very cheap. Zone in NYC: Two Bridges/Seward Park",Intimate art gallery showcasing contemporary works.,"gallery, art, intimate, contemporary"
7,40.7147772,-73.9839516,Laurel Gitlen,"465 Grand St, New York, NY 10002, USA",http://www.laurelgitlen.com/,Rating: 5,3225,Culture,art gallery,price level very cheap,Two Bridges/Seward Park,"Name of location: Laurel Gitlen Rating: 5, Location Type: Culture art gallery. price level very cheap. Zone in NYC: Two Bridges/Seward Park",Contemporary art gallery supporting emerging artists.,"gallery, art, contemporary, creative"
8,40.7144934,-73.9824854,Concordia Studio,"311 east broadway NADA exhibition space 2nd floor, New York, NY 10002, USA",https://concordiastudio.co/artshow/,Rating: 5,10336,Culture,art gallery,price level very cheap,Two Bridges/Seward Park,"Name of location: Concordia Studio Rating: 5, Location Type: Culture art gallery. price level very cheap. Zone in NYC: Two Bridges/Seward Park",Film and media production studio with a focus on documentaries.,"film, media, studio, documentary"
9,40.7138465,-73.9802358,THINK1994,"563 Grand St, New York, NY 10002, USA",http://www.thnk1994.com/,Rating: 5,2659,Culture,art gallery,price level very cheap,Two Bridges/Seward Park,"Name of location: THINK1994 Rating: 5, Location Type: Culture art gallery. price level very cheap. Zone in NYC: Two Bridges/Seward Park",Pop culture museum and exhibit space with a humorous twist.,"museum, pop culture, humor, creative"
10,40.718818,-73.9900876,Tenement Museum,"103 Orchard St, New York, NY 10002, USA",https://www.tenement.org/,Rating: 4.6,8508,Culture,"tourist attraction, museum",price level very cheap,Lower East Side,"Name of location: Tenement Museum Rating: 4.6, Location Type: Culture tourist attraction, museum. price level very cheap. Zone in NYC: Lower East Side",Museum exploring immigrant life on the Lower East Side.,"museum, history, immigrants, culture"
11,40.718246,-73.9891093,International Center of Photography Museum,"84 Ludlow St, New York, NY 10002, USA",https://www.icp.org/,Rating: 4.3,449,Culture,"art gallery, museum",price level very cheap,Lower East Side,"Name of location: International Center of Photography Museum Rating: 4.3, Location Type: Culture art gallery, museum. price level very cheap. Zone in NYC: Lower East Side",Museum dedicated to the art and history of photography.,"museum, photography, art, history"
